query_id,doc_id
6791,4171594
8701,5346043
10264,5070732
35996,5568539
36214,7365328
36473,6525435
36703,5846450
36965,6622433
37685,7467815
37952,6676009
38608,7277279
39360,1125552
39908,5186463
43649,6483397
50498,5785688
50833,320952
51090,7395882
78076,2298801
80712,4301471
81945,5704766
84106,3773899
86701,7949389
94798,7067177
118448,6448234
127876,2963050
128772,7403593
129565,3671426
133977,6466736
156566,3491991
156688,2822224
156723,1992215
165116,2736905
165335,4188107
165480,1794737
167371,1051020
169305,308522
174249,901680
193581,1693080
193742,4984284
193866,7400587
193968,4374718
194531,4543158
194750,3953878
194870,3938379
195199,8009378
195440,4350297
195582,7353731
195693,3631400
196111,7368727
196232,446991
196250,2859495
196453,757392
196596,3228026
196720,8669407
196949,4776278
196963,1411749
197024,5622012
197542,8542369
197945,5200465
197964,1791317
198581,7506364
198807,7341214
199177,992005
199572,6464781
199776,625917
199837,5287395
200042,7989047
200296,8497779
201154,842706
201366,8612321
201376,4892700
202006,7727452
202073,3169685
202081,5221859
202797,3404367
202954,2749696
203039,7555487
203274,5695242
203317,5625598
203390,6350325
203458,5052678
203646,7373078
203688,7643475
205107,7081548
205251,2763067
205741,3715853
206117,1664259
206549,8202033
206806,2924547
206819,1963653
207251,3176223
207595,3667190
208145,8256891
208198,2749676
208265,3526262
208339,559857
208411,7610503
208494,7073275
208610,7817967
208822,7674638
209651,199151
209730,1418192
209764,2732521
210442,5734248
210690,5182756
211468,6619254
211621,7373879
211691,7070648
212195,4017872
212236,2812062
212251,3224602
212303,5189372
212435,8583005
212477,1420018
212634,7392104
212796,1946624
212977,5755548
214040,2192457
215603,4477533
217246,6827889
218000,5749798
220087,8807796
220761,3662590
221664,3110545
222158,212386
222954,1666239
223165,6453107
223468,4949701
224314,568779
224548,4346626
224626,4956428
225499,3625379
225752,6998798
226132,4739916
226335,5498052
226461,8076895
226509,8820468
227317,3675255
227591,7137406
227968,1305385
228474,2059294
228738,1733560
229325,4537999
230179,6283462
230725,7737541
230891,5788137
231109,2238705
231292,5891685
231298,1136549
231482,3104374
231717,7661545
231877,3719257
232703,6085990
233904,8829484
234114,4729823
234165,7733801
234388,7573020
234644,5348930
234651,7382002
234821,8536408
235027,6100975
235089,7834221
235534,4465537
235832,6113823
236427,8317325
236580,4899833
236582,7853249
236708,7441140
236801,4629816
236949,3116684
237370,6308201
237373,171969
237561,7306360
237936,5595075
238886,4814460
239189,1015429
239511,5907698
239516,4344818
239648,161054
239830,466698
240584,5569671
241246,6451782
242019,5918864
242061,863144
242103,6168403
242107,4516724
242219,7311863
242863,6435333
243139,1789389
243416,8326816
243712,3367984
243761,6476440
244011,242133
244092,2468894
244821,6509036
244902,4636958
244929,8278437
245120,5671159
245416,8260383
245921,5770375
246626,7297318
247194,3495948
248385,6479985
249118,4205045
249176,6014206
249618,721417
249792,1023101
249821,5843828
250228,720228
250367,5917386
250636,6857183
251172,2222236
251445,3091649
252295,3029270
252632,5736434
253965,6595027
253966,5717767
254652,2034707
255027,5851478
255469,7136414
255633,6367645
256052,5641048
256192,6026608
256783,5999197
257018,6326077
257335,6443438
257772,5505021
257885,7442279
258337,1409489
258485,1030300
259239,3468645
259417,3656696
259763,2231488
259781,7984189
260172,482542
260762,2074859
260853,7817455
261098,7448801
261521,4424495
261650,3757642
261652,5767798
261683,1888140
272047,2945529
281002,4474026
283154,5648323
294518,7395794
295406,7813600
296441,1540953
297019,1968486
298113,5103288
298550,4956957
298565,5465246
300246,6644882
302878,361853
303045,1946068
306806,7368019
307008,868702
313438,7359303
344955,6213196
357519,798272
357664,4514023
382119,2869947
388950,843334
391481,6485274
400696,6379684
425688,2268192
427323,6759423
427532,182033
427730,7920445
431602,386001
455793,4022403
455853,8583148
455862,7429430
456016,317908
456305,533525
456443,8137876
456551,161833
456734,4559725
457622,339642
457714,4871040
457809,7500363
457842,8760390
458064,567550
458110,6554110
458235,945100
458771,4354506
458774,3810338
458885,2307424
459280,4752106
459291,3571092
459481,4191862
459948,3119736
460162,2236596
460403,7411246
461078,2521312
461281,7624295
461491,1314319
461601,988793
462301,7411577
462765,7430864
462979,3659421
463230,3653582
463443,7421597
463635,5890345
464440,6335938
464484,6727537
466162,7616903
466202,391515
466252,7635938
466335,2232739
466640,3451721
466738,393203
466774,7984412
467274,2785460
467597,2500726
467612,7729151
468762,2596807
468907,7681283
469535,7466852
469819,6639694
469873,3376939
470001,630559
470385,7064993
470459,7692482
470611,1468682
470982,5350376
471007,5749619
471197,1861471
471705,1972132
472024,7650812
472359,1929403
472448,7556882
473319,3816847
473361,3825793
473394,8252960
473492,8698105
473886,3571069
473935,6280487
474234,5197803
474419,7668438
474659,5544197
474873,1263753
475402,4143102
476483,1452412
476724,6623955
476807,3864993
476947,7295359
476977,3694925
477100,5676126
477286,7602329
477309,6829249
477380,5073023
477639,3692846
477648,1195744
478054,7606660
478063,7703656
478220,4095326
478295,7530978
478359,2764281
478691,7655212
478827,6728211
478981,7842038
479284,6891307
479379,543240
479525,1467141
479570,7922652
480064,8005362
480504,5557699
480536,3308762
480932,4504264
481297,6124839
481387,6059320
481961,4750643
482496,245115
482808,3030873
483028,8179215
483178,8335013
483241,953872
483795,917146
484551,3643118
485287,3641586
485558,6972040
486274,5869606
486370,6976587
486512,1321934
486623,6865103
487279,8561071
487569,7715093
488198,2035784
488345,2901317
488416,7687391
488676,7462291
488711,3919317
488825,4921338
489374,7472216
489513,8705294
489931,8711773
490505,7809624
490802,8619885
490883,4272405
490903,4878839
491585,751390
492681,6926626
492853,2586837
493508,7512335
493543,271336
494086,7483315
494346,219365
494730,4441007
495018,1384948
495082,3025376
495483,2496707
495680,5334848
496175,4284578
496244,6381253
